Lemma,Case,Number,Gender,Degree,Upos,Inflection,Forms
Abschluß,Dat,Sing,Masc,,NOUN,,Abschluss:122 | Abschluß:38
Abschluß,Acc,Sing,Masc,,NOUN,,Abschluss:38 | Abschluß:10
Abschuß,Acc,Sing,Masc,,NOUN,,Abschuss:1 | Abschuß:1
Absender,Dat,Plur,,,NOUN,,Absendern:4 | Absender:1
Absicht,Acc,,,,NOUN,,Absicht:3 | Absichten:1
Absicht,Dat,,,,NOUN,,Absicht:1 | Absichten:1
Abspielgerät,Dat,Sing,Neut,,NOUN,,Abspielgerät:2 | Abspielgeräte:1
Acker,Acc,Plur,,,NOUN,,Äcker:2 | Acker:1
Aktienanteil,Dat,Sing,Masc,,NOUN,,Aktienanteil:2 | Aktienanteile:1
Aktienkurs,Dat,Sing,Masc,,NOUN,,Aktienkurs:10 | Aktienkurse:2
Aktienkurs,Dat,Plur,,,NOUN,,Aktienkurse:1 | Aktienkursen:1
Aktion,Dat,Sing,Fem,,NOUN,,Aktion:84 | Aktien-Transaktion:1
Aktionär,Dat,Plur,,,NOUN,,Aktionären:63 | Aktionäre:1
Aktivist,Acc,Sing,Masc,,NOUN,,Aktivist:1 | Aktivisten:1
Album,Dat,Sing,Neut,,NOUN,,Album:17 | Alben:2
All,Dat,Sing,Neut,,NOUN,,All:20 | Alle:5
Allee,Dat,Sing,Fem,,NOUN,,Allee:1 | Alleen:1
Alterungsprozeß,Acc,Sing,Masc,,NOUN,,Alterungsprozess:1 | Alterungsprozeß:1
Ander,Dat,Sing,,,NOUN,,Anderen:2 | Anderem:1
Angebot,Dat,Sing,Neut,,NOUN,,Angebot:240 | Angebote:1
Angebot,Dat,Plur,,,NOUN,,Angeboten:111 | Angebote:1
Angehörig,Acc,Plur,,,NOUN,,Angehörige:2 | Angehörigen:1
Angeklagter,Acc,Plur,,,NOUN,,Angeklagten:2 | Angeklagte:1
Angestellt,Acc,Plur,,,NOUN,,Angestellten:13 | Angestellte:7
Angestellte,Acc,Plur,,,NOUN,,Angestellte:1 | Angestellten:1
Angriff,Dat,Sing,Masc,,NOUN,,Angriff:31 | Angriffe:2
Angriffsziel,Dat,Sing,Neut,,NOUN,,Angriffsziel:1 | Angriffsziele:1
Anlage,Acc,,,,NOUN,,Anlage:3 | Anlagen:1
Anlaß,Dat,Sing,Masc,,NOUN,,Anlass:42 | Anlaß:3
